"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"gcc-final","13.3.0","GPL-3.0-with-GCC-exception","COPYING.RUNTIME","gcc-13.3.0.tar.xz","https://mirrors.kernel.org/gnu//gcc/gcc-13.3.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"glibc","2.39-74-g198632a05f6c7b9ab67d3331d8caace9ceabb685","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","COPYING COPYING.LIB LICENSES","glibc-2.39-74-g198632a05f6c7b9ab67d3331d8caace9ceabb685.tar.gz","https://github.com/bminor/glibc/archive/2.39-74-g198632a05f6c7b9ab67d3331d8caace9ceabb685","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"linux-headers","4.19.315","GPL-2.0","","linux-4.19.315.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v4.x","skeleton-init-common [unknown] skeleton-init-none [unknown]"
"gdb","14.2","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-14.2.tar.xz","https://mirrors.kernel.org/gnu//gdb","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"buildroot","2021.11-12449-g1bef613319","GPL-2.0+","COPYING","not saved","not saved",""
"gcc-final","13.3.0","GPL-2.0, GPL-3.0, LGPL-2.1, LGPL-3.0","COPYING COPYING3 COPYING.LIB COPYING3.LIB","gcc-13.3.0.tar.xz","https://mirrors.kernel.org/gnu//gcc/gcc-13.3.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-bison [GPL-3.0+] host-gawk [GPL-3.0+] host-gcc-initial [GPL-2.0, GPL-3.0, LGPL-2.1, LGPL-3.0] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"bison","3.8.2","GPL-3.0+","COPYING","bison-3.8.2.tar.xz","https://mirrors.kernel.org/gnu//bison","host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"m4","1.4.19","GPL-3.0+","COPYING","m4-1.4.19.tar.xz","https://mirrors.kernel.org/gnu//m4","host-skeleton [unknown] host-tar [GPL-3.0+]"
"tar","1.35","GPL-3.0+","COPYING","tar-1.35.cpio.gz","https://mirrors.kernel.org/gnu//tar","host-skeleton [unknown]"
"gawk","5.3.0","GPL-3.0+","COPYING","gawk-5.3.0.tar.xz","https://mirrors.kernel.org/gnu//gawk","host-skeleton [unknown] host-tar [GPL-3.0+]"
"gcc-initial","13.3.0","GPL-2.0, GPL-3.0, LGPL-2.1, LGPL-3.0","COPYING COPYING3 COPYING.LIB COPYING3.LIB","gcc-13.3.0.tar.xz","https://mirrors.kernel.org/gnu//gcc/gcc-13.3.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"binutils","2.41","GPL-3.0+, libiberty LGPL-2.1+","COPYING3 COPYING.LIB","binutils-2.41.tar.xz","https://mirrors.kernel.org/gnu//binutils","host-skeleton [unknown] host-tar [GPL-3.0+]"
"gmp","6.3.0","LGPL-3.0+ or GPL-2.0+","COPYING.LESSERv3 COPYINGv2","gmp-6.3.0.tar.xz","https://mirrors.kernel.org/gnu//gmp","host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"mpc","1.3.1","LGPL-3.0+","COPYING.LESSER","mpc-1.3.1.tar.gz","https://mirrors.kernel.org/gnu//mpc","host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"mpfr","4.1.1","LGPL-3.0+","COPYING.LESSER","mpfr-4.1.1.tar.xz","http://www.mpfr.org/mpfr-4.1.1","host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"gdb","14.2","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-14.2.tar.xz","https://mirrors.kernel.org/gnu//gdb","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-expat [MIT] host-gmp [LGPL-3.0+ or GPL-2.0+] host-libffi [MIT] host-libiberty [LGPL-2.1+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-mpfr [LGPL-3.0+] host-ncurses [MIT with advertising clause] host-pkgconf [pkgconf license] host-python3 [Python-2.0, others] host-skeleton [unknown] host-tar [GPL-3.0+]"
"expat","2.6.2","MIT","COPYING","expat-2.6.2.tar.xz","http://downloads.sourceforge.net/project/expat/expat/2.6.2","host-skeleton [unknown] host-tar [GPL-3.0+]"
"libiberty","2.41","LGPL-2.1+","COPYING.LIB","binutils-2.41.tar.xz","https://mirrors.kernel.org/gnu//binutils","host-skeleton [unknown] host-tar [GPL-3.0+]"
"ncurses","6.4-20230603","MIT with advertising clause","COPYING","ncurses-6.4-20230603.tar.gz","https://github.com/ThomasDickey/ncurses-snapshots/archive/v6_4_20230603","host-skeleton [unknown] host-tar [GPL-3.0+]"
"python3","3.11.8","Python-2.0, others","LICENSE","Python-3.11.8.tar.xz","https://python.org/ftp/python/3.11.8","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-expat [MIT] host-libffi [MIT] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+]"
"autoconf","2.72","GPL-3.0+ with exceptions","COPYINGv3 COPYING.EXCEPTION","autoconf-2.72.tar.xz","https://mirrors.kernel.org/gnu//autoconf","host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"libtool","2.4.6","GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)","COPYING libltdl/COPYING.LIB","libtool-2.4.6.tar.xz","https://mirrors.kernel.org/gnu//libtool","host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"autoconf-archive","2023.02.20","GPL-3.0+ with exception","COPYING COPYING.EXCEPTION","autoconf-archive-2023.02.20.tar.xz","https://mirrors.kernel.org/gnu//autoconf-archive","host-skeleton [unknown] host-tar [GPL-3.0+]"
"automake","1.16.5","GPL-2.0+","COPYING","automake-1.16.5.tar.xz","https://mirrors.kernel.org/gnu//automake","host-autoconf [GPL-3.0+ with exceptions] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"libffi","3.4.6","MIT","LICENSE","libffi-3.4.6.tar.gz","https://github.com/libffi/libffi/releases/download/v3.4.6","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"pkgconf","1.6.3","pkgconf license","COPYING","pkgconf-1.6.3.tar.xz","https://distfiles.ariadne.space/pkgconf","host-skeleton [unknown] host-tar [GPL-3.0+]"
"libzlib","1.3.1","Zlib","LICENSE","zlib-1.3.1.tar.xz","https://www.zlib.net","host-skeleton [unknown] host-tar [GPL-3.0+]"
"patchelf","0.13","GPL-3.0+","COPYING","patchelf-0.13.tar.bz2","https://github.com/NixOS/patchelf/releases/download/0.13","host-skeleton [unknown] host-tar [GPL-3.0+]"
